,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Rikitea,76,PF,1535161134,100,-23.12,-134.97,70.14,12.55
1,Alofi,90,NU,1535158800,74,-19.06,-169.92,78.8,8.05
2,Puerto Leguizamo,12,CO,1535161137,93,-0.19,-74.78,74.55,2.15
3,Hobart,0,AU,1535158800,54,-42.88,147.33,57.2,11.41
4,Tiksi,0,RU,1535161141,96,71.64,128.87,46.29,6.73
5,Atuona,68,PF,1535161143,100,-9.8,-139.03,78.87,16.24
6,Mataura,68,NZ,1535161144,76,-46.19,168.86,48.72,17.02
7,Punta Arenas,0,CL,1535158800,64,-53.16,-70.91,39.2,11.41
8,Marzuq,56,YE,1535160893,61,14.4,46.47,66.18,2.48
9,Octeville,75,FR,1535160000,76,49.63,-1.64,57.2,10.29
10,Solenzo,76,BF,1535161150,99,12.18,-4.08,69.96,6.06
11,Itarema,0,BR,1535161152,88,-2.92,-39.92,76.17,12.55
12,Lorengau,24,PG,1535161153,100,-2.02,147.27,83.01,6.62
13,Albany,20,US,1535158500,68,42.65,-73.75,73.4,3.36
14,Yellowknife,75,CA,1535158800,54,62.45,-114.38,53.6,5.82
15,Bluff,0,AU,1535161159,38,-23.58,149.07,75.09,7.74
16,Bida,92,NG,1535161161,100,9.08,6.02,69.51,3.38
17,Hermanus,20,ZA,1535161024,89,-34.42,19.24,42.15,5.39
18,Kununurra,0,AU,1535158800,11,-15.77,128.74,80.6,8.05
19,Marsa Matruh,0,EG,1535155200,83,31.35,27.25,77.0,4.7
20,Kosonsoy,0,UZ,1535158800,52,41.25,71.55,66.2,6.93
21,Sangar,76,RU,1535161168,63,63.92,127.47,60.06,3.38
22,Goderich,92,CA,1535161170,68,43.74,-81.71,68.7,13.11
23,Port Alfred,0,ZA,1535161172,79,-33.59,26.89,65.46,16.24
24,Arica,90,CL,1535158800,67,-18.48,-70.32,60.8,4.7
25,Gondanglegi,0,ID,1535161175,48,-7.75,112.01,83.73,3.49
26,Itatskiy,0,RU,1535161176,70,56.07,89.04,67.62,4.5
27,Yar-Sale,20,RU,1535161179,87,66.83,70.83,59.52,4.16
28,Lata,68,IN,1535161180,100,30.78,78.62,61.86,0.69
29,Severo-Kurilsk,0,RU,1535161182,91,50.68,156.12,55.02,3.94
30,Cidreira,100,BR,1535161183,98,-30.17,-50.22,61.59,16.69
31,Tlacotepec,90,MX,1535158020,81,18.96,-99.93,53.6,6.93
32,Dunedin,0,NZ,1535160952,69,-45.87,170.5,46.74,14.45
33,Loa Janan,68,ID,1535161188,72,-0.58,117.09,85.44,2.93
34,Ushuaia,75,AR,1535158800,96,-54.81,-68.31,44.6,19.46
35,Upernavik,0,GL,1535161098,97,72.79,-56.15,39.72,10.2
36,Byron Bay,40,AU,1535158800,56,-28.65,153.62,68.0,10.29
37,Daru,92,SL,1535161215,99,7.99,-10.85,72.39,5.73
38,Cape Town,20,ZA,1535158800,93,-33.93,18.42,46.4,4.7
39,Vanavara,20,RU,1535161219,73,60.35,102.28,62.22,5.06
40,Pedernales,88,EC,1535161221,90,0.07,-80.05,71.94,7.07
41,Puerto Ayora,80,EC,1535161224,100,-0.74,-90.35,70.59,13.67
42,Ribeira Grande,36,PT,1535161114,100,38.52,-28.7,74.64,10.54
43,Mattru,80,SL,1535161227,99,7.62,-11.83,74.37,3.04
44,Angoche,0,MZ,1535161229,100,-16.23,39.91,76.53,9.64
45,Jamestown,0,AU,1535161231,48,-33.21,138.6,59.61,8.52
46,Ust-Kulom,0,RU,1535161233,94,61.69,53.69,47.28,5.61
47,Kontagora,92,NG,1535161234,98,10.4,5.47,70.41,3.71
48,Lebu,75,ET,1535158800,93,8.96,38.73,55.4,4.7
49,Carnarvon,0,ZA,1535161237,36,-30.97,22.13,34.14,8.08
50,Hammerfest,75,NO,1535158200,81,70.66,23.68,53.6,23.04
51,Touros,80,BR,1535161241,100,-5.2,-35.46,73.47,12.21
52,Kaitangata,64,NZ,1535161242,75,-46.28,169.85,47.46,19.15
53,Gat,0,SN,1535161244,95,14.69,-16.54,75.36,6.17
54,Cabra,0,ES,1535160600,50,37.47,-4.43,77.0,3.36
55,Herat,0,AF,1535158500,20,34.35,62.22,64.4,12.21
56,Parana,0,BR,1535158800,94,-7.52,-72.89,73.4,3.04
57,Saint-Pierre,88,FR,1535160600,76,48.95,4.24,57.2,12.75
58,Kapaa,90,US,1535159580,100,22.08,-159.32,86.0,21.92
59,Ypsonas,0,CY,1535160600,88,34.69,32.96,75.2,6.93
60,Shetpe,0,KZ,1535161256,44,44.14,52.16,54.03,3.71
61,Sitka,44,US,1535161258,68,37.17,-99.65,77.07,8.19
62,Springdale,1,US,1535158680,72,36.19,-94.13,82.94,9.17
63,New Norfolk,0,AU,1535158800,54,-42.78,147.06,57.2,11.41
64,Pevek,88,RU,1535161263,100,69.7,170.27,37.56,11.54
65,Semey,20,KZ,1535161265,91,50.41,80.25,63.66,5.95
66,Bambanglipuro,0,ID,1535161267,51,-7.95,110.28,84.63,4.38
67,Enshi,0,CN,1535161269,68,30.29,109.48,77.97,2.15
68,East London,0,ZA,1535161270,98,-33.02,27.91,67.8,26.53
69,Butaritari,12,KI,1535161272,100,3.07,172.79,83.46,3.38
70,Copperas Cove,1,US,1535159700,35,31.12,-97.9,95.0,8.05
71,Wanning,75,AT,1535158200,82,48.64,13.53,62.6,11.41
72,Gisborne,12,NZ,1535161161,56,-38.66,178.02,58.44,14.67
73,Kodiak,20,US,1535158380,82,39.95,-94.76,82.94,3.36
74,Busselton,0,AU,1535161024,100,-33.64,115.35,59.61,6.51
75,Berlevag,92,NO,1535161283,99,70.86,29.09,49.53,19.04
76,Pacific Grove,90,US,1535159400,75,36.62,-121.92,66.2,10.29
77,Vysokogornyy,0,RU,1535161286,59,50.1,139.13,69.69,3.04
78,Kiunga,48,PG,1535161288,92,-6.12,141.3,76.26,1.36
79,Kirakira,80,SB,1535161291,100,-10.46,161.92,77.79,10.42
80,Baoro,92,CF,1535161292,98,5.69,15.95,67.26,3.04
81,Mwinilunga,0,ZM,1535161293,54,-11.73,24.43,57.81,4.5
82,Pochutla,90,MX,1535157900,73,15.74,-96.47,75.2,11.41
83,Georgetown,0,GY,1535158800,100,6.8,-58.16,77.0,4.7
84,Sao Joao da Barra,0,BR,1535161299,95,-21.64,-41.05,74.46,27.76
85,Dingle,80,PH,1535161301,79,11.0,122.67,82.92,7.74
86,Katsuura,40,JP,1535158800,62,33.93,134.5,89.6,5.82
87,Ucluelet,40,CA,1535158800,72,48.94,-125.55,62.6,8.05
88,Cabo San Lucas,75,MX,1535157780,78,22.89,-109.91,80.6,13.87
89,Padang,0,ID,1535161307,100,-0.92,100.36,81.39,9.19
90,Hualmay,32,PE,1535161309,96,-11.1,-77.61,53.22,5.5
91,Esperance,20,TT,1535158800,88,10.24,-61.45,78.8,4.7
92,Wundanyi,0,KE,1535161312,91,-3.4,38.37,53.94,2.59
93,Haines Junction,68,CA,1535161314,50,60.75,-137.51,54.48,3.04
94,Barrow,0,AR,1535161316,88,-38.31,-60.23,36.21,5.5
95,Mahibadhoo,12,MV,1535161317,100,3.78,72.97,82.47,7.74
96,Cururupu,0,BR,1535161319,86,-1.82,-44.87,76.89,6.4
97,Thompson,90,CA,1535159400,81,55.74,-97.86,50.0,2.24
98,Pontianak,40,ID,1535158800,83,-0.02,109.34,80.6,4.7
99,Iqaluit,75,CA,1535159040,80,63.75,-68.52,41.0,13.87
100,Maxixe,0,MZ,1535161326,100,-23.86,35.35,68.34,8.19
101,Klaksvik,88,FO,1535160000,76,62.23,-6.59,48.2,19.46
102,Te Anau,8,NZ,1535161330,79,-45.41,167.72,45.66,5.61
103,Riberalta,80,BO,1535161332,96,-11.0,-66.08,70.86,1.36
104,Khatanga,0,RU,1535161333,77,71.98,102.47,60.06,15.23
105,Villefranche-sur-Saone,0,FR,1535160600,55,45.98,4.72,62.6,3.49
106,Barinas,36,VE,1535161336,89,8.64,-70.23,74.73,3.6
107,Ozernovskiy,20,RU,1535161135,89,51.5,156.52,54.84,6.62
108,Oksfjord,92,NO,1535158200,87,70.24,22.35,53.6,12.75
109,Avarua,20,CK,1535158800,74,-21.21,-159.78,82.4,8.05
110,San Patricio,8,PY,1535161343,76,-26.98,-56.83,52.05,8.41
111,Victoria,75,BN,1535158800,79,5.28,115.24,86.0,3.36
112,Tulum,75,MX,1535158020,94,20.21,-87.46,78.8,3.49
113,Luderitz,88,NA,1535161349,96,-26.65,15.16,51.87,0.69
114,Tuatapere,8,NZ,1535161350,100,-46.13,167.69,47.91,17.58
115,Ilulissat,68,GL,1535158200,50,69.22,-51.1,51.8,23.04
116,Corn Island,80,NI,1535161353,100,12.17,-83.04,80.94,13.44
117,Talnakh,68,RU,1535161355,62,69.49,88.39,57.63,6.4
118,Kidal,0,ML,1535161174,46,18.44,1.41,78.87,3.49
119,Magan,75,RU,1535158800,72,62.1,129.53,59.0,4.47
120,Nushki,0,PK,1535161360,31,29.55,66.02,67.8,2.48
121,Provideniya,64,RU,1535161362,100,64.42,-173.23,47.46,4.61
122,Bredasdorp,24,ZA,1535158800,93,-34.53,20.04,37.4,2.24
123,Joplin,1,US,1535159700,77,37.08,-94.51,84.2,9.17
124,Qaanaaq,0,GL,1535161126,100,77.48,-69.36,34.05,6.06
125,Moose Factory,90,CA,1535159700,93,51.26,-80.61,51.8,3.36
126,Hilo,90,US,1535158860,96,19.71,-155.08,77.0,16.11
127,Jacareacanga,0,BR,1535161200,81,-6.22,-57.76,76.98,2.15
128,Arraial do Cabo,0,BR,1535161373,84,-22.97,-42.02,73.11,23.85
129,Sobolevo,0,RU,1535161374,68,54.43,31.9,54.84,11.65
130,Salalah,90,OM,1535158200,100,17.01,54.1,73.4,4.7
131,Tuktoyaktuk,75,CA,1535158800,57,69.44,-133.03,50.0,4.7
132,Vaini,100,IN,1535161378,99,15.34,74.49,68.97,4.16
133,Geraldton,90,CA,1535158800,82,49.72,-86.95,64.4,8.05
134,Terrasini,40,IT,1535160000,83,38.15,13.08,73.4,6.93
135,Boguchany,76,RU,1535161383,91,58.38,97.46,60.33,2.71
136,Belmonte,0,PT,1535161384,78,40.36,-7.35,55.74,3.04
137,Leningradskiy,80,RU,1535161386,100,69.38,178.42,36.93,14.0
138,Havre-Saint-Pierre,20,CA,1535158800,81,50.23,-63.6,53.6,8.05
139,Warren,75,US,1535159700,45,42.48,-83.03,76.46,3.36
140,Taoudenni,0,ML,1535161391,18,22.68,-3.98,82.92,8.52
141,Bara,64,NG,1535161393,94,10.41,10.6,70.14,7.4
142,Zaraza,24,VE,1535161395,96,9.35,-65.33,74.01,3.38
143,Manta,0,RO,1535161280,90,45.1,24.1,58.44,2.71
144,Garmsar,12,IR,1535161398,49,35.22,52.34,64.11,3.71
145,Dongsheng,0,CN,1535161399,59,29.72,112.52,88.32,11.1
146,Pantai Remis,75,MY,1535158800,83,4.46,100.63,78.8,4.7
147,Collie,0,AU,1535161403,86,-33.36,116.15,59.43,3.04
